Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Leicestershire,3,75.00%,1,25.00%,563,87.30%,82,12.70%,74,70.50%,31,29.50%,71,87.70%,10,12.30%,21,95.50%,1,4.50%,206,90.70%,21,9.30%,42,82.40%,9,17.60%,93,90.30%,10,9.70%,105,92.10%,9,7.90%,146,89.60%,17,10.40%,29,87.90%,4,12.10%,320,80.60%,77,19.40%,32,100.00%,
Lincolnshire,4,80.00%,1,20.00%,378,81.30%,87,18.70%,18,100.00%,0,0.00%,50,87.70%,7,12.30%,4,57.10%,3,42.90%,287,90.80%,29,9.20%,31,86.10%,5,13.90%,85,91.40%,8,8.60%,108,90.80%,11,9.20%,137,85.10%,24,14.90%,33,84.60%,6,15.40%,361,77.60%,104,22.40%,27,100.00%,
Merseyside,7,87.50%,1,12.50%,932,82.60%,196,17.40%,108,78.30%,30,21.70%,52,91.20%,5,8.80%,25,100.00%,0,0.00%,510,94.10%,32,5.90%,52,86.70%,8,13.30%,140,90.90%,14,9.10%,500,95.60%,23,4.40%,272,91.00%,27,9.00%,45,80.40%,11,19.60%,727,85.90%,119,14.10%,51,100.00%,
Metropolitan and City,36,73.50%,13,26.50%,4430,70.80%,1831,29.20%,422,69.30%,187,30.70%,513,78.90%,137,21.10%,242,78.30%,67,21.70%,2085,83.60%,410,16.40%,588,84.00%,112,16.00%,649,81.00%,152,19.00%,2743,91.20%,265,8.80%,1330,76.70%,404,23.30%,545,86.10%,88,13.90%,2739,76.30%,852,23.70%,624,100.00%,
Norfolk,1,100.00%,0,0.00%,496,84.20%,93,15.80%,23,88.50%,3,11.50%,35,92.10%,3,7.90%,14,93.30%,1,6.70%,302,94.10%,19,5.90%,45,93.80%,3,6.30%,103,91.20%,10,8.80%,155,98.10%,3,1.90%,263,92.90%,20,7.10%,23,79.30%,6,20.70%,367,92.70%,29,7.30%,28,100.00%,
Northamptonshire,5,100.00%,0,0.00%,329,76.50%,101,23.50%,20,87.00%,3,13.00%,32,88.90%,4,11.10%,11,84.60%,2,15.40%,162,91.50%,15,8.50%,23,85.20%,4,14.80%,52,91.20%,5,8.80%,67,94.40%,4,5.60%,73,90.10%,8,9.90%,28,93.30%,2,6.70%,271,89.40%,32,10.60%,35,100.00%,
Northumbria,7,100.00%,0,0.00%,745,75.60%,240,24.40%,153,76.50%,47,23.50%,141,81.50%,32,18.50%,26,72.20%,10,27.80%,799,92.50%,65,7.50%,72,81.80%,16,18.20%,190,90.00%,21,10.00%,200,88.50%,26,11.50%,418,82.10%,91,17.90%,53,89.80%,6,10.20%,615,84.90%,109,15.10%,60,100.00%,
North Wales,8,72.70%,3,27.30%,490,85.10%,86,14.90%,36,78.30%,10,21.70%,50,92.60%,4,7.40%,10,76.90%,3,23.10%,288,93.80%,19,6.20%,22,91.70%,2,8.30%,75,91.50%,7,8.50%,134,95.70%,6,4.30%,191,94.10%,12,5.90%,17,85.00%,3,15.00%,379,91.80%,34,8.20%,11,100.00%,
North Yorkshire,6,85.70%,1,14.30%,364,82.40%,78,17.60%,22,88.00%,3,12.00%,57,91.90%,5,8.10%,1,33.30%,2,66.70%,314,93.70%,21,6.30%,28,77.80%,8,22.20%,73,89.00%,9,11.00%,86,91.50%,8,8.50%,168,84.80%,30,15.20%,31,79.50%,8,20.50%,337,89.60%,39,10.40%,60,100.00%,
Nottinghamshire,6,100.00%,0,0.00%,722,78.90%,193,21.10%,117,77.50%,34,22.50%,63,84.00%,12,16.00%,28,80.00%,7,20.00%,511,93.80%,34,6.20%,52,89.70%,6,10.30%,143,88.30%,19,11.70%,291,90.40%,31,9.60%,270,84.10%,51,15.90%,48,88.90%,6,11.10%,432,89.80%,49,10.20%,47,100.00%,
South Wales,6,85.70%,1,14.30%,1066,75.00%,355,25.00%,102,78.50%,28,21.50%,107,83.60%,21,16.40%,27,75.00%,9,25.00%,759,93.00%,57,7.00%,62,87.30%,9,12.70%,198,90.00%,22,10.00%,418,95.00%,22,5.00%,411,85.10%,72,14.90%,60,84.50%,11,15.50%,654,77.80%,187,22.20%,43,100.00%,
South Yorkshire,7,70.00%,3,30.00%,701,77.00%,209,23.00%,36,85.70%,6,14.30%,132,90.40%,14,9.60%,43,82.70%,9,17.30%,552,89.90%,62,10.10%,58,89.20%,7,10.80%,168,88.40%,22,11.60%,204,95.80%,9,4.20%,250,90.60%,26,9.40%,41,87.20%,6,12.80%,481,89.10%,59,10.90%,96,100.00%,
Staffordshire,4,80.00%,1,20.00%,589,79.80%,149,20.20%,54,63.50%,31,36.50%,78,88.60%,10,11.40%,20,90.90%,2,9.10%,381,92.90%,29,7.10%,58,86.60%,9,13.40%,106,87.60%,15,12.40%,198,96.10%,8,3.90%,162,87.60%,23,12.40%,42,91.30%,4,8.70%,404,85.40%,69,14.60%,58,100.00%,
Suffolk,3,100.00%,0,0.00%,320,86.30%,51,13.70%,23,92.00%,2,8.00%,28,93.30%,2,6.70%,10,90.90%,1,9.10%,142,94.70%,8,5.30%,24,88.90%,3,11.10%,70,93.30%,5,6.70%,135,93.10%,10,6.90%,99,92.50%,8,7.50%,11,84.60%,2,15.40%,231,93.50%,16,6.50%,12,100.00%,
Surrey,3,100.00%,0,0.00%,371,77.90%,105,22.10%,57,80.30%,14,19.70%,51,94.40%,3,5.60%,4,100.00%,0,0.00%,175,92.10%,15,7.90%,50,92.60%,4,7.40%,62,89.90%,7,10.10%,109,94.80%,6,5.20%,71,87.70%,10,12.30%,30,96.80%,1,3.20%,321,90.90%,32,9.10%,26,100.00%,
Sussex,0,-,0,-,722,79.30%,188,20.70%,78,71.60%,31,28.40%,50,89.30%,6,10.70%,14,77.80%,4,22.20%,271,92.50%,22,7.50%,45,90.00%,5,10.00%,80,86.00%,13,14.00%,207,95.00%,11,5.00%,166,83.40%,33,16.60%,38,88.40%,5,11.60%,577,89.00%,71,11.00%,29,100.00%,
Thames Valley,9,81.80%,2,18.20%,964,75.40%,314,24.60%,108,76.10%,34,23.90%,132,88.00%,18,12.00%,27,60.00%,18,40.00%,649,92.30%,54,7.70%,117,91.40%,11,8.60%,181,88.30%,24,11.70%,343,93.50%,24,6.50%,249,84.10%,47,15.90%,88,88.00%,12,12.00%,937,89.50%,110,10.50%,94,100.00%,
Warwickshire,0,-,0,-,213,82.20%,46,17.80%,27,64.30%,15,35.70%,40,93.00%,3,7.00%,8,100.00%,0,0.00%,148,86.50%,23,13.50%,30,93.80%,2,6.30%,33,82.50%,7,17.50%,61,92.40%,5,7.60%,65,81.30%,15,18.80%,10,100.00%,0,0.00%,205,74.50%,70,25.50%,26,100.00%,
West Mercia,9,100.00%,0,0.00%,625,78.90%,167,21.10%,57,66.30%,29,33.70%,52,85.20%,9,14.80%,8,72.70%,3,27.30%,388,92.60%,31,7.40%,50,90.90%,5,9.10%,119,89.50%,14,10.50%,185,96.90%,6,3.10%,211,87.20%,31,12.80%,46,85.20%,8,14.80%,607,88.10%,82,11.90%,30,100.00%,
West Midlands,30,81.10%,7,18.90%,1960,80.10%,488,19.90%,211,74.60%,72,25.40%,179,82.50%,38,17.50%,104,77.60%,30,22.40%,1372,92.50%,112,7.50%,167,82.30%,36,17.70%,276,87.10%,41,12.90%,626,92.60%,50,7.40%,703,84.90%,125,15.10%,190,84.10%,36,15.90%,889,83.60%,175,16.40%,242,100.00%,
West Yorkshire,21,87.50%,3,12.50%,1431,82.50%,303,17.50%,189,70.30%,80,29.70%,185,89.80%,21,10.20%,63,92.60%,5,7.40%,723,92.80%,56,7.20%,91,86.70%,14,13.30%,244,86.50%,38,13.50%,405,93.10%,30,6.90%,392,87.30%,57,12.70%,92,84.40%,17,15.60%,772,88.70%,98,11.30%,154,100.00%,
Wiltshire,0,-,0,-,290,88.10%,39,11.90%,28,87.50%,4,12.50%,26,89.70%,3,10.30%,8,80.00%,2,20.00%,203,95.30%,10,4.70%,23,95.80%,1,4.20%,56,96.60%,2,3.40%,83,97.60%,2,2.40%,78,89.70%,9,10.30%,24,96.00%,1,4.00%,198,95.20%,10,4.80%,13,100.00%,
National,297,80.10%,74,19.90%,"27,880",78.90%,"7,450",21.10%,"2,863",74.30%,992,25.70%,"3,228",88.40%,422,11.60%,955,78.70%,259,21.30%,"17,992",92.50%,"1,465",7.50%,"2,496",87.00%,372,13.00%,"4,815",85.60%,813,14.40%,"10,168",93.80%,676,6.20%,"8,751",86.40%,"1,376",13.60%,"2,176",86.90%,328,13.10%,"20,493",85.80%,"3,388",14.20%,"2,669",100.00%,
Avon and Somerset,6,85.70%,1,14.30%,771,81.70%,173,18.30%,138,75.00%,46,25.00%,77,87.50%,11,12.50%,25,86.20%,4,13.80%,416,93.90%,27,6.10%,65,86.70%,10,13.30%,153,85.50%,26,14.50%,265,95.00%,14,5.00%,218,85.50%,37,14.50%,44,88.00%,6,12.00%,518,91.00%,51,9.00%,105,100.00%,
Bedfordshire,2,100.00%,0,0.00%,243,71.70%,96,28.30%,17,100.00%,0,0.00%,39,90.70%,4,9.30%,13,81.30%,3,18.80%,170,83.70%,33,16.30%,24,82.80%,5,17.20%,52,82.50%,11,17.50%,83,95.40%,4,4.60%,65,73.90%,23,26.10%,16,84.20%,3,15.80%,235,77.60%,68,22.40%,50,100.00%,
Cambridgeshire,4,80.00%,1,20.00%,367,81.20%,85,18.80%,29,87.90%,4,12.10%,48,90.60%,5,9.40%,20,69.00%,9,31.00%,209,95.00%,11,5.00%,34,94.40%,2,5.60%,66,86.80%,10,13.20%,70,93.30%,5,6.70%,70,84.30%,13,15.70%,9,75.00%,3,25.00%,229,91.20%,22,8.80%,29,100.00%,
Cheshire,2,66.70%,1,33.30%,703,81.20%,163,18.80%,63,70.80%,26,29.20%,48,85.70%,8,14.30%,17,89.50%,2,10.50%,469,94.70%,26,5.30%,48,82.80%,10,17.20%,103,91.20%,10,8.80%,231,95.90%,10,4.10%,289,91.70%,26,8.30%,49,90.70%,5,9.30%,677,86.60%,105,13.40%,38,100.00%,
Cleveland,4,100.00%,0,0.00%,332,76.10%,104,23.90%,24,92.30%,2,7.70%,101,87.10%,15,12.90%,15,75.00%,5,25.00%,609,96.10%,25,3.90%,33,86.80%,5,13.20%,89,88.10%,12,11.90%,154,94.50%,9,5.50%,145,85.30%,25,14.70%,29,96.70%,1,3.30%,213,88.00%,29,12.00%,22,100.00%,
Cumbria,2,100.00%,0,0.00%,326,88.30%,43,11.70%,12,92.30%,1,7.70%,13,72.20%,5,27.80%,1,50.00%,1,50.00%,204,97.60%,5,2.40%,14,82.40%,3,17.60%,54,85.70%,9,14.30%,85,98.80%,1,1.20%,113,95.00%,6,5.00%,14,82.40%,3,17.60%,228,90.50%,24,9.50%,4,100.00%,
Derbyshire,3,100.00%,0,0.00%,487,78.00%,137,22.00%,24,92.30%,2,7.70%,44,86.30%,7,13.70%,16,94.10%,1,5.90%,374,89.90%,42,10.10%,41,93.20%,3,6.80%,98,83.10%,20,16.90%,143,96.00%,6,4.00%,140,86.40%,22,13.60%,50,74.60%,17,25.40%,337,84.00%,64,16.00%,32,100.00%,
Devon and Cornwall,8,80.00%,2,20.00%,559,85.20%,97,14.80%,32,94.10%,2,5.90%,69,97.20%,2,2.80%,16,84.20%,3,15.80%,306,94.20%,19,5.80%,28,93.30%,2,6.70%,110,92.40%,9,7.60%,153,95.00%,8,5.00%,170,87.20%,25,12.80%,21,80.80%,5,19.20%,545,88.30%,72,11.70%,29,100.00%,
Dorset,2,66.70%,1,33.30%,392,88.90%,49,11.10%,25,69.40%,11,30.60%,35,89.70%,4,10.30%,7,77.80%,2,22.20%,234,95.10%,12,4.90%,35,92.10%,3,7.90%,57,83.80%,11,16.20%,122,96.10%,5,3.90%,116,87.90%,16,12.10%,31,88.60%,4,11.40%,367,90.80%,37,9.20%,46,100.00%,
Durham,6,85.70%,1,14.30%,304,83.10%,62,16.90%,12,85.70%,2,14.30%,50,80.60%,12,19.40%,6,75.00%,2,25.00%,297,93.10%,22,6.90%,23,95.80%,1,4.20%,54,78.30%,15,21.70%,34,89.50%,4,10.50%,81,80.20%,20,19.80%,17,94.40%,1,5.60%,234,94.40%,14,5.60%,17,100.00%,
Dyfed Powys,1,100.00%,0,0.00%,193,80.40%,47,19.60%,29,82.90%,6,17.10%,16,88.90%,2,11.10%,0,0.00%,1,100.00%,99,90.00%,11,10.00%,6,75.00%,2,25.00%,47,90.40%,5,9.60%,77,96.30%,3,3.80%,58,87.90%,8,12.10%,8,80.00%,2,20.00%,197,90.80%,20,9.20%,15,100.00%,
Essex,9,81.80%,2,18.20%,664,78.00%,187,22.00%,102,67.10%,50,32.90%,95,94.10%,6,5.90%,16,88.90%,2,11.10%,346,94.00%,22,6.00%,58,79.50%,15,20.50%,124,86.70%,19,13.30%,233,94.00%,15,6.00%,145,87.90%,20,12.10%,29,78.40%,8,21.60%,608,81.40%,139,18.60%,66,100.00%,
Gloucestershire,3,100.00%,0,0.00%,197,80.40%,48,19.60%,14,100.00%,0,0.00%,30,85.70%,5,14.30%,3,75.00%,1,25.00%,154,95.10%,8,4.90%,16,84.20%,3,15.80%,41,85.40%,7,14.60%,89,93.70%,6,6.30%,47,94.00%,3,6.00%,10,83.30%,2,16.70%,154,91.10%,15,8.90%,24,100.00%,
GreaterManchester,26,92.90%,2,7.10%,1326,79.90%,334,20.10%,199,72.90%,74,27.10%,164,96.50%,6,3.50%,54,88.50%,7,11.50%,434,92.50%,35,7.50%,51,78.50%,14,21.50%,231,90.90%,23,9.10%,250,95.10%,13,4.90%,405,91.60%,37,8.40%,87,85.30%,15,14.70%,771,85.80%,128,14.20%,94,100.00%,
Gwent,3,60.00%,2,40.00%,250,81.20%,58,18.80%,18,66.70%,9,33.30%,37,84.10%,7,15.90%,9,81.80%,2,18.20%,191,91.80%,17,8.20%,15,88.20%,2,11.80%,47,71.20%,19,28.80%,92,90.20%,10,9.80%,60,82.20%,13,17.80%,18,85.70%,3,14.30%,244,87.50%,35,12.50%,7,100.00%,
Hampshire,6,100.00%,0,0.00%,834,82.60%,176,17.40%,86,86.00%,14,14.00%,83,89.20%,10,10.80%,20,95.20%,1,4.80%,628,94.60%,36,5.40%,79,88.80%,10,11.20%,123,89.80%,14,10.20%,209,93.70%,14,6.30%,217,87.10%,32,12.90%,45,86.50%,7,13.50%,606,91.10%,59,8.90%,67,100.00%,
Hertfordshire,7,77.80%,2,22.20%,441,80.60%,106,19.40%,21,87.50%,3,12.50%,44,83.00%,9,17.00%,29,80.60%,7,19.40%,392,92.90%,30,7.10%,70,95.90%,3,4.10%,71,84.50%,13,15.50%,187,92.10%,16,7.90%,108,85.00%,19,15.00%,25,86.20%,4,13.80%,367,83.80%,71,16.20%,50,100.00%,
Humberside,2,66.70%,1,33.30%,540,84.80%,97,15.20%,24,66.70%,12,33.30%,97,95.10%,5,4.90%,17,77.30%,5,22.70%,400,94.10%,25,5.90%,49,89.10%,6,10.90%,109,83.20%,22,16.80%,109,94.80%,6,5.20%,164,94.80%,9,5.20%,28,84.80%,5,15.20%,277,87.70%,39,12.30%,40,100.00%,
Kent,18,69.20%,8,30.80%,842,80.00%,210,20.00%,85,82.50%,18,17.50%,80,89.90%,9,10.10%,13,86.70%,2,13.30%,433,90.20%,47,9.80%,98,91.60%,9,8.40%,140,84.30%,26,15.70%,245,93.90%,16,6.10%,182,82.70%,38,17.30%,74,89.20%,9,10.80%,494,90.50%,52,9.50%,125,100.00%,
Lancashire,7,87.50%,1,12.50%,803,78.40%,221,21.60%,37,90.20%,4,9.80%,113,87.60%,16,12.40%,24,75.00%,8,25.00%,689,95.60%,32,4.40%,61,91.00%,6,9.00%,197,88.70%,25,11.30%,164,94.30%,10,5.70%,324,87.60%,46,12.40%,55,100.00%,0,0.00%,754,84.00%,144,16.00%,52,100.00%,
Leicestershire,8,80.00%,2,20.00%,500,79.70%,127,20.30%,76,70.40%,32,29.60%,68,93.20%,5,6.80%,15,93.80%,1,6.30%,270,92.50%,22,7.50%,44,91.70%,4,8.30%,81,83.50%,16,16.50%,126,93.30%,9,6.70%,134,86.50%,21,13.50%,29,85.30%,5,14.70%,314,80.90%,74,19.10%,43,100.00%,
Lincolnshire,4,100.00%,0,0.00%,375,86.00%,61,14.00%,15,93.80%,1,6.30%,36,92.30%,3,7.70%,4,50.00%,4,50.00%,334,91.80%,30,8.20%,28,90.30%,3,9.70%,52,83.90%,10,16.10%,122,97.60%,3,2.40%,109,85.80%,18,14.20%,33,86.80%,5,13.20%,397,80.20%,98,19.80%,29,100.00%,
Merseyside,6,85.70%,1,14.30%,822,78.40%,226,21.60%,63,79.70%,16,20.30%,55,90.20%,6,9.80%,12,80.00%,3,20.00%,467,94.90%,25,5.10%,61,93.80%,4,6.20%,149,82.80%,31,17.20%,516,94.20%,32,5.80%,256,86.50%,40,13.50%,72,87.80%,10,12.20%,726,83.70%,141,16.30%,53,100.00%,
Metropolitan and City,50,64.90%,27,35.10%,3995,70.70%,1652,29.30%,440,66.20%,225,33.80%,499,83.00%,102,17.00%,206,72.50%,78,27.50%,2144,85.90%,352,14.10%,626,85.80%,104,14.20%,556,80.70%,133,19.30%,2657,92.00%,230,8.00%,1241,78.00%,350,22.00%,565,86.50%,88,13.50%,2986,76.80%,902,23.20%,682,100.00%,
Norfolk,1,100.00%,0,0.00%,475,86.80%,72,13.20%,41,93.20%,3,6.80%,33,86.80%,5,13.20%,2,50.00%,2,50.00%,325,95.90%,14,4.10%,30,93.80%,2,6.30%,102,89.50%,12,10.50%,178,96.70%,6,3.30%,218,91.20%,21,8.80%,26,89.70%,3,10.30%,388,94.40%,23,5.60%,28,100.00%,
Northamptonshire,3,60.00%,2,40.00%,366,84.50%,67,15.50%,18,100.00%,0,0.00%,32,86.50%,5,13.50%,10,71.40%,4,28.60%,155,89.60%,18,10.40%,27,84.40%,5,15.60%,70,92.10%,6,7.90%,79,92.90%,6,7.10%,72,96.00%,3,4.00%,32,88.90%,4,11.10%,275,88.10%,37,11.90%,44,100.00%,
Northumbria,5,71.40%,2,28.60%,763,72.10%,295,27.90%,122,67.80%,58,32.20%,127,85.20%,22,14.80%,23,85.20%,4,14.80%,640,91.70%,58,8.30%,76,80.00%,19,20.00%,167,83.90%,32,16.10%,182,91.00%,18,9.00%,431,84.20%,81,15.80%,50,78.10%,14,21.90%,507,84.20%,95,15.80%,49,100.00%,
North Wales,10,100.00%,0,0.00%,447,84.50%,82,15.50%,35,72.90%,13,27.10%,37,88.10%,5,11.90%,4,66.70%,2,33.30%,249,97.30%,7,2.70%,20,87.00%,3,13.00%,80,90.90%,8,9.10%,112,99.10%,1,0.90%,142,92.20%,12,7.80%,13,86.70%,2,13.30%,325,90.30%,35,9.70%,29,100.00%,
North Yorkshire,1,25.00%,3,75.00%,329,81.00%,77,19.00%,20,87.00%,3,13.00%,48,92.30%,4,7.70%,6,75.00%,2,25.00%,264,92.60%,21,7.40%,22,95.70%,1,4.30%,66,82.50%,14,17.50%,81,94.20%,5,5.80%,112,87.50%,16,12.50%,31,75.60%,10,24.40%,255,88.90%,32,11.10%,28,100.00%,
Nottinghamshire,13,92.90%,1,7.10%,667,79.90%,168,20.10%,121,74.20%,42,25.80%,70,87.50%,10,12.50%,32,80.00%,8,20.00%,484,93.80%,32,6.20%,44,83.00%,9,17.00%,109,87.90%,15,12.10%,312,90.20%,34,9.80%,240,89.20%,29,10.80%,67,83.80%,13,16.30%,435,93.50%,30,6.50%,67,100.00%,
South Wales,8,100.00%,0,0.00%,922,75.50%,300,24.50%,90,81.10%,21,18.90%,96,88.10%,13,11.90%,17,63.00%,10,37.00%,675,93.90%,44,6.10%,54,88.50%,7,11.50%,172,89.60%,20,10.40%,381,95.00%,20,5.00%,352,90.00%,39,10.00%,61,91.00%,6,9.00%,619,89.60%,72,10.40%,36,100.00%,
South Yorkshire,4,80.00%,1,20.00%,705,78.90%,188,21.10%,32,82.10%,7,17.90%,121,87.70%,17,12.30%,30,78.90%,8,21.10%,522,94.10%,33,5.90%,43,91.50%,4,8.50%,151,83.90%,29,16.10%,221,95.30%,11,4.70%,233,89.30%,28,10.70%,50,96.20%,2,3.80%,407,86.80%,62,13.20%,68,100.00%,
Staffordshire,9,100.00%,0,0.00%,538,78.90%,144,21.10%,72,83.70%,14,16.30%,51,91.10%,5,8.90%,9,56.30%,7,43.80%,372,93.00%,28,7.00%,25,83.30%,5,16.70%,112,81.80%,25,18.20%,183,94.30%,11,5.70%,163,91.10%,16,8.90%,57,93.40%,4,6.60%,393,86.80%,60,13.20%,52,100.00%,
Suffolk,0,-,0,-,323,85.90%,53,14.10%,28,90.30%,3,9.70%,21,100.00%,0,0.00%,4,100.00%,0,0.00%,152,94.40%,9,5.60%,10,76.90%,3,23.10%,51,96.20%,2,3.80%,129,94.90%,7,5.10%,98,93.30%,7,6.70%,23,92.00%,2,8.00%,306,92.20%,26,7.80%,15,100.00%,
Surrey,0,-,0,-,384,79.20%,101,20.80%,42,77.80%,12,22.20%,26,86.70%,4,13.30%,6,100.00%,0,0.00%,171,94.00%,11,6.00%,39,79.60%,10,20.40%,51,89.50%,6,10.50%,109,96.50%,4,3.50%,75,90.40%,8,9.60%,19,86.40%,3,13.60%,344,90.30%,37,9.70%,57,100.00%,
Sussex,1,100.00%,0,0.00%,683,80.10%,170,19.90%,66,64.70%,36,35.30%,67,90.50%,7,9.50%,19,82.60%,4,17.40%,327,92.60%,26,7.40%,56,82.40%,12,17.60%,99,86.10%,16,13.90%,180,93.30%,13,6.70%,131,89.70%,15,10.30%,30,93.80%,2,6.30%,527,89.20%,64,10.80%,58,100.00%,
Thames Valley,5,62.50%,3,37.50%,916,81.00%,215,19.00%,146,75.60%,47,24.40%,128,88.30%,17,11.70%,28,68.30%,13,31.70%,578,92.00%,50,8.00%,85,84.20%,16,15.80%,143,83.60%,28,16.40%,343,94.80%,19,5.20%,277,85.80%,46,14.20%,57,90.50%,6,9.50%,799,87.40%,115,12.60%,53,100.00%,
Warwickshire,3,75.00%,1,25.00%,180,78.60%,49,21.40%,17,60.70%,11,39.30%,22,91.70%,2,8.30%,10,90.90%,1,9.10%,141,94.00%,9,6.00%,19,100.00%,0,0.00%,29,96.70%,1,3.30%,27,93.10%,2,6.90%,54,85.70%,9,14.30%,7,63.60%,4,36.40%,186,84.90%,33,15.10%,32,100.00%,
West Mercia,1,33.30%,2,66.70%,576,79.90%,145,20.10%,51,69.90%,22,30.10%,43,84.30%,8,15.70%,9,56.30%,7,43.80%,370,94.40%,22,5.60%,47,92.20%,4,7.80%,74,88.10%,10,11.90%,130,96.30%,5,3.70%,185,92.00%,16,8.00%,27,90.00%,3,10.00%,504,88.60%,65,11.40%,43,100.00%,
West Midlands,23,95.80%,1,4.20%,1781,81.00%,418,19.00%,165,71.70%,65,28.30%,178,90.40%,19,9.60%,125,85.00%,22,15.00%,1341,92.80%,104,7.20%,173,87.80%,24,12.20%,246,82.80%,51,17.20%,676,94.00%,43,6.00%,658,85.80%,109,14.20%,150,87.70%,21,12.30%,823,89.30%,99,10.70%,183,100.00%,
West Yorkshire,17,89.50%,2,10.50%,1274,80.70%,304,19.30%,196,74.00%,69,26.00%,157,92.40%,13,7.60%,61,84.70%,11,15.30%,740,93.60%,51,6.40%,93,85.30%,16,14.70%,242,87.70%,34,12.30%,360,94.50%,21,5.50%,385,89.50%,45,10.50%,110,88.00%,15,12.00%,701,89.30%,84,10.70%,90,100.00%,
Wiltshire,4,80.00%,1,20.00%,285,86.90%,43,13.10%,16,72.70%,6,27.30%,30,93.80%,2,6.30%,2,100.00%,0,0.00%,217,93.90%,14,6.10%,26,89.70%,3,10.30%,47,85.50%,8,14.50%,69,98.60%,1,1.40%,68,88.30%,9,11.70%,8,72.70%,3,27.30%,221,93.20%,16,6.80%,18,100.00%,
National,280,80.50%,68,19.50%,"28,269",79.20%,"7,446",20.80%,"2,722",75.50%,885,24.50%,"3,128",87.00%,468,13.00%,"1,076",81.00%,252,19.00%,"18,008",92.40%,"1,474",7.60%,"2,505",87.30%,366,12.70%,"4,992",85.90%,821,14.10%,"10,502",93.30%,752,6.70%,"8,737",86.20%,"1,397",13.80%,"2,214",89.10%,272,10.90%,"22,033",85.90%,"3,613",14.10%,"2,808",100.00%,
Avon and Somerset,7,87.50%,1,12.50%,788,81.50%,179,18.50%,117,78.50%,32,21.50%,65,84.40%,12,15.60%,25,73.50%,9,26.50%,375,90.80%,38,9.20%,45,95.70%,2,4.30%,148,84.10%,28,15.90%,236,91.80%,21,8.20%,272,87.20%,40,12.80%,26,89.70%,3,10.30%,617,88.60%,79,11.40%,80,100.00%,
Bedfordshire,0,0.00%,1,100.00%,230,74.20%,80,25.80%,22,88.00%,3,12.00%,27,96.40%,1,3.60%,18,85.70%,3,14.30%,183,90.10%,20,9.90%,25,89.30%,3,10.70%,43,89.60%,5,10.40%,110,97.30%,3,2.70%,65,90.30%,7,9.70%,20,90.90%,2,9.10%,313,79.80%,79,20.20%,46,100.00%,
Cambridgeshire,8,100.00%,0,0.00%,376,77.80%,107,22.20%,23,88.50%,3,11.50%,34,87.20%,5,12.80%,12,92.30%,1,7.70%,232,92.80%,18,7.20%,33,86.80%,5,13.20%,54,87.10%,8,12.90%,81,95.30%,4,4.70%,64,77.10%,19,22.90%,10,66.70%,5,33.30%,307,89.80%,35,10.20%,38,100.00%,
Cheshire,4,100.00%,0,0.00%,725,84.30%,135,15.70%,72,81.80%,16,18.20%,64,98.50%,1,1.50%,13,81.30%,3,18.80%,424,94.00%,27,6.00%,58,90.60%,6,9.40%,103,85.80%,17,14.20%,275,93.90%,18,6.10%,324,94.50%,19,5.50%,45,97.80%,1,2.20%,692,88.00%,94,12.00%,59,100.00%,
Cleveland,1,100.00%,0,0.00%,292,77.20%,86,22.80%,20,83.30%,4,16.70%,94,88.70%,12,11.30%,26,78.80%,7,21.20%,715,97.00%,22,3.00%,37,97.40%,1,2.60%,90,87.40%,13,12.60%,161,93.10%,12,6.90%,139,85.30%,24,14.70%,17,89.50%,2,10.50%,224,89.20%,27,10.80%,21,100.00%,
